사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,합계
202501,경춘선,별내,23,0,943,580,2033,1223,6189,2695,5908,4972,4152,2691,3434,2860,3025,2356,3559,2440,3867,2874,3504,2559,3941,3766,4398,3352,4389,4721,5236,5685,2543,5348,1792,2686,1830,1750,1568,2067,761,1027,33,376,0,0,0,0,0,0,20250203,119156
202501,경춘선,사릉,56,0,1533,407,2875,1092,7214,3322,6026,2925,3780,1543,3072,1442,2969,1915,3193,1870,2932,1712,2179,2093,2361,2647,2337,2824,2991,4088,3834,6550,1381,6077,1023,3011,713,2259,458,2096,167,1456,13,354,0,0,0,0,0,0,20250203,100790
202501,경춘선,상천,0,0,153,10,182,116,415,129,507,453,448,423,457,359,660,444,504,338,500,363,501,501,452,573,503,407,416,431,259,396,109,361,62,196,91,227,17,85,7,69,2,28,0,0,0,0,0,0,20250203,12154
202501,경춘선,신내,16,1,1167,393,3844,2038,10012,3755,8289,7621,4294,2295,3513,2056,3447,2096,3507,2314,3335,2823,3151,2396,3352,3891,3973,3083,4866,5605,6270,7528,2453,6016,1544,3175,1351,2522,1126,2285,580,1724,81,632,0,0,0,0,0,0,20250203,134420
202501,경춘선,천마산,7,0,867,155,2367,541,5363,1207,4706,1502,3728,1371,3382,1182,2584,1513,2633,1604,2357,1835,2197,2168,1779,2834,1832,2460,1653,3790,1606,3294,713,4101,581,2618,461,1950,238,1413,95,964,5,223,0,0,0,0,0,0,20250203,75879
202501,경춘선,청평,15,0,637,173,1663,845,3216,1464,3730,2704,3389,2590,3838,2548,5396,2186,4178,3212,3285,3368,3267,3514,3280,4005,2980,3830,3713,3880,2178,3659,1338,3438,1275,1919,612,1594,418,1226,142,998,12,281,0,0,0,0,0,0,20250203,95996
202501,경춘선,춘천,211,2,626,5,1151,281,1580,657,2257,1715,2524,1833,2333,1684,2594,3161,2476,2864,3158,3202,3712,2230,4147,3067,3465,2170,3340,2191,2427,2201,1691,2245,1113,1419,759,1179,368,920,79,914,1,632,0,0,0,0,0,0,20250203,74584
202501,경춘선,퇴계원,10,0,2431,363,4531,1389,13617,2867,10192,3935,7602,2613,6045,3126,5272,2728,6528,2811,5238,3582,3662,3479,4217,5081,3760,5631,4108,7795,4737,9307,2041,9558,1562,5021,1065,3805,774,4544,408,2161,22,816,0,0,0,0,0,0,20250203,168434
202501,경춘선,평내호평,562,8,5008,581,10839,1612,21708,3717,16512,7944,10007,5770,9825,4681,9325,5777,9052,7816,8631,6695,7785,8836,8156,8398,7799,9634,7823,15866,7884,20033,4693,16006,3994,9791,3630,7519,3480,6634,1651,4713,59,1904,0,0,0,0,0,0,20250203,312358
202501,공항철도 1호선,검암,1441,3,8031,603,12118,1945,28563,6217,20633,13819,10505,4641,8446,3311,8655,3412,8276,4370,7445,4877,6537,5508,6406,6659,7702,9767,8186,12353,10896,21890,4229,20752,3342,12236,2551,10820,1894,11060,970,8928,154,4444,2,30,0,0,0,0,20250203,334627
